Sample	taxid	Species name	Reference genome length (bp)	Kaiju reads assigned	Bowtie2 reads mapped	Proportion kaiju reads mapped with Bowtie2	Bowtie2 mean identity of mapped reads (%)	Bowtie2 mean MAPQ of mapped reads	Bowtie2 genome fraction (%)
hmp_ibd	100134	Anaerocolumna_xylanovorans	5420325	2.0	0	0.0			0.0
hmp_ibd	100176	Papillibacter_cinnamivorans	2890610	6.0	0	0.0			0.0
hmp_ibd	100884	Coprobacillus_cateniformis	3861289	10.0	3	0.3	98.67326732673268	42.0	0.005257311742270522
hmp_ibd	100886	Catenibacterium_mitsuokai	2650196	118.0	2	0.01694915254237288	95.04950495049505	23.5	0.00528262815278568
hmp_ibd	1019	Capnocytophaga_sputigena	2855148	2.0	0	0.0			0.0
hmp_ibd	1034346	Dielma_fastidiosa	3618065	180.0	97	0.5388888888888889	98.93920121835737	39.25773195876289	0.21591651891273372
hmp_ibd	103892	Veillonella_ratti	2236286	2.0	0	0.0			0.0
hmp_ibd	1042156	Clostridium_sp._SY8519	2835737	2.0	0	0.0			0.0
hmp_ibd	105841	Anaerostipes_caccae	3284789	14.0	2	0.14285714285714285	96.29629629629629	1.0	0.004992710338472273
hmp_ibd	105843	Anaerobutyricum_soehngenii	3194235	12.0	2	0.16666666666666666	98.01980198019803	42.0	0.006386505689155619
hmp_ibd	106588	Pseudoflavonifractor_capillosus	4241076	48.0	6	0.125	95.88591212062381	28.5	0.010775567332441107
hmp_ibd	1078087	Parabacteroides_sp._HGS0025	6761553	4.0	2	0.5	96.53465346534654	32.0	0.0026029523099205167
hmp_ibd	1078089	Bacteroides_sp._HPS0048	6096022	2.0	0	0.0			0.0
hmp_ibd	109327	Anaerovorax_odorimutans	3263520	6.0	0	0.0			0.0
hmp_ibd	1096246	Hungatella_effluvii	6863335	6.0	0	0.0			0.0
hmp_ibd	109790	Lactobacillus_jensenii	1672949	2.0	0	0.0			0.0
hmp_ibd	1099853	Coprobacter_fastidiosus	3444538	16.0	6	0.375	98.08993399339936	36.0	0.01059648637930544
hmp_ibd	1110546	Veillonella_tobetsuensis	2041114	4.0	0	0.0			0.0
hmp_ibd	1115758	Romboutsia_ilealis	2588193	8.0	2	0.25	97.5047504750475	41.0	0.004365980434998472
hmp_ibd	112903	Propionispora_vibrioides	4433598	4.0	0	0.0			0.0
hmp_ibd	1131567	Undibacterium_squillarum	4185104	4.0	2	0.5	97.02970297029702	33.0	0.004874430838516797
hmp_ibd	1133319	Bacteroides_reticulotermitis	5382020	6.0	0	0.0			0.0
hmp_ibd	1134687	Klebsiella_michiganensis	6041841	2.0	0	0.0			0.0
hmp_ibd	1150298	Fusicatenibacter_saccharivorans	3782803	240.0	60	0.25	97.94175364397866	35.31666666666667	0.1119275838577901
hmp_ibd	1160721	Ruminococcus_bicirculans	2968500	98.0	38	0.3877551020408163	98.22198149116637	37.31578947368421	0.08829375105272023
hmp_ibd	116085	Coprococcus_catus	3599035	98.0	12	0.12244897959183673	98.52706877689018	37.666666666666664	0.017615833133048164
hmp_ibd	1161942	Ruminococcus_champanellensis	2573208	12.0	6	0.5	98.26083731968703	39.0	0.016632934453802414
hmp_ibd	1177574	Prevotella_jejuni	3913006	4.0	2	0.5	96.53465346534654	32.0	0.004906713662079742
hmp_ibd	1193534	uncultured_Flavonifractor_sp.	2635928	70.0	0	0.0			0.0
hmp_ibd	1197717	Cloacibacillus_porcorum	3585187	2.0	0	0.0			0.0
hmp_ibd	1203555	Acidaminococcus_sp._HPA0509	2287856	8.0	6	0.75	100.0	19.333333333333332	0.022728703205096824
hmp_ibd	121608	Paenibacillus_koleovorans	7544267	2.0	0	0.0			0.0
hmp_ibd	1217282	Parabacteroides_faecis	6660562	4.0	0	0.0			0.0
hmp_ibd	1226322	Oscillibacter_sp._KLE_1728	3590714	12.0	9	0.75	98.23872387238724	37.77777777777778	0.022168292991310363
hmp_ibd	1226323	Oscillibacter_sp._KLE_1745	3594235	20.0	11	0.55	99.31413630873577	42.0	0.021311906427932507
hmp_ibd	1226324	Blautia_sp._KLE_1732	3573774	24.0	16	0.6666666666666666	98.65810643564356	37.125	0.030220153820582945
hmp_ibd	1226325	Clostridium_sp._KLE_1755	6640751	26.0	14	0.5384615384615384	99.00990099009901	40.714285714285715	0.017151674562109014
hmp_ibd	1227265	Capnocytophaga_sp._oral_taxon_863	2724306	2.0	2	1.0	100.0	42.0	0.006643893894445045
hmp_ibd	1227276	Prevotella_sp._F0091	3193725	4.0	3	0.75	98.34983498349834	36.0	0.007702604325669868
hmp_ibd	1235790	Eubacterium_sp._14-2	3996868	2.0	0	0.0			0.0
hmp_ibd	1235797	Oscillibacter_sp._1-3	4467686	6.0	0	0.0			0.0
hmp_ibd	1235835	Anaerotruncus_sp._G3-2012-	3620383	2.0	2	1.0	99.5	42.0	0.005137577985533575
hmp_ibd	1261634	Roseburia_sp._499	3381825	2.0	2	1.0	98.51485148514851	41.0	0.006032245902730035
hmp_ibd	1261635	Roseburia_sp._831b	3368602	16.0	5	0.3125	94.3923403329344	14.8	0.011814990313489097
hmp_ibd	1261637	Anaerostipes_sp._992a	2798165	2.0	0	0.0			0.0
hmp_ibd	1262687	Acidaminococcus_sp._CAG-542	2044712	2.0	0	0.0			0.0
hmp_ibd	1262693	Alistipes_sp._CAG-268	2678396	8.0	0	0.0			0.0
hmp_ibd	1262694	Alistipes_sp._CAG-29	3127447	24.0	11	0.4583333333333333	98.36583535234509	34.72727272727273	0.023565547233893973
hmp_ibd	1262744	Bacteroides_sp._CAG-633	3641748	20.0	8	0.4	99.13242574257427	41.75	0.01738176282378682
hmp_ibd	1262755	Blautia_sp._CAG-237	2898194	2.0	0	0.0			0.0
hmp_ibd	1262756	Blautia_sp._CAG-257	2866244	2.0	1	0.5	97.02970297029702	40	0.0035586642309587044
hmp_ibd	1262780	Clostridium_sp._CAG-221	3093482	10.0	6	0.6	100.0	42.0	0.014385084509947044
hmp_ibd	1262805	Clostridium_sp._CAG-43	2618944	16.0	8	0.5	97.38372093023256	33.5	0.01718249798392024
hmp_ibd	1262880	Eubacterium_sp._CAG-156	2450450	6.0	4	0.6666666666666666	100.0	42.0	0.011385663857658797
hmp_ibd	1262881	Eubacterium_sp._CAG-161	2515227	2.0	0	0.0			0.0
hmp_ibd	1262910	Oscillibacter_sp._CAG-155	2277379	14.0	2	0.14285714285714285	94.55445544554456	13.5	0.007376901253590203
hmp_ibd	1262912	Parabacteroides_sp._CAG-2	4561326	2.0	2	1.0	99.00990099009901	42.0	0.004472383688427444
hmp_ibd	1262931	Prevotella_sp._CAG-592	2726024	4.0	0	0.0			0.0
hmp_ibd	1262956	Ruminococcus_sp._CAG-379	2164906	6.0	2	0.3333333333333333	100.0	42.0	0.0025405260089814523
hmp_ibd	1263547	Oscillibacter_ruminantium	3108242	2.0	0	0.0			0.0
hmp_ibd	1264	Ruminococcus_albus	4482087	12.0	0	0.0			0.0
hmp_ibd	1265	Ruminococcus_flavefaciens	3587803	14.0	0	0.0			0.0
hmp_ibd	1280	Staphylococcus_aureus	2821361	16.0	0	0.0			0.0
hmp_ibd	1280669	Dorea_sp._AGR2135	3509498	6.0	2	0.3333333333333333	97.2972972972973	1.0	0.004274115557267734
hmp_ibd	1280672	Butyrivibrio_sp._AC2005	5126371	2.0	0	0.0			0.0
hmp_ibd	1280674	Prevotella_sp._AGR2160	2908381	2.0	0	0.0			0.0
hmp_ibd	1282	Staphylococcus_epidermidis	2491058	4.0	2	0.5	98.21428571428571	1.0	0.004576368755765623
hmp_ibd	1284775	Prevotella_sp._S7-1-8	2838933	2.0	0	0.0			0.0
hmp_ibd	1288121	Alistipes_senegalensis	3674467	12.0	0	0.0			0.0
hmp_ibd	1290	Staphylococcus_hominis	2257431	6.0	0	0.0			0.0
hmp_ibd	1297617	Intestinimonas_butyriciproducens	3224506	44.0	2	0.045454545454545456	99.50495049504951	42.0	0.00632655048556275
hmp_ibd	1297750	Bacteroides_luti	4118748	4.0	0	0.0			0.0
hmp_ibd	1302	Streptococcus_gordonii	2187618	4.0	1	0.25	93.06930693069307	8	0.004662605628587806
hmp_ibd	1304	Streptococcus_salivarius	2210574	4.0	2	0.5	98.68421052631578	42.0	0.003483258194477995
hmp_ibd	1305	Streptococcus_sanguinis	2296927	4.0	1	0.25	94.05940594059405	23	0.0044407157911418174
